,Date,Visitor,Visitor_PTS,Home,Home_PTS,Day,Day_Num,Spread,Winner,Home_TotalWins,Home_TotalLosses,Home_HomeWins,Home_HomeLosses,Home_Streak,Home_CumSpread,Home_AvgSpread,Home_CumPTS,Home_AvgPTS,Home_GamesPlayed,Home_DaysPast,Visitor_TotalWins,Visitor_TotalLosses,Visitor_VisitorWins,Visitor_VisitorLosses,Visitor_Streak,Visitor_CumSpread,Visitor_AvgSpread,Visitor_CumPTS,Visitor_AvgPTS,Visitor_GamesPlayed,Visitor_DaysPast,Home_ELO,Visitor_ELO
0,2007-10-30 19:30:00,Utah Jazz,117,Golden State Warriors,96,Tue,3,-21,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1500,1500
1,2007-10-30 19:30:00,Houston Rockets,95,Los Angeles Lakers,93,Tue,3,-2,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1500,1500
2,2007-10-30 19:00:00,Portland Trail Blazers,97,San Antonio Spurs,106,Tue,3,9,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1500,1500
3,2007-10-31 20:00:00,Dallas Mavericks,92,Cleveland Cavaliers,74,Wed,4,-18,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1500,1500
4,2007-10-31 20:30:00,Seattle SuperSonics,103,Denver Nuggets,120,Wed,4,17,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1500,1500
5,2007-10-31 19:00:00,Washington Wizards,110,Indiana Pacers,119,Wed,4,9,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1500,1500
6,2007-10-31 19:00:00,San Antonio Spurs,104,Memphis Grizzlies,101,Wed,4,-3,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,0,1,9,9.0,106,106.0,1,0,1500,1509
7,2007-10-31 19:30:00,Chicago Bulls,103,New Jersey Nets,112,Wed,4,9,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1500,1500
8,2007-10-31 19:00:00,Sacramento Kings,90,New Orleans Hornets,104,Wed,4,14,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1500,1500
9,2007-10-31 19:00:00,Milwaukee Bucks,83,Orlando Magic,102,Wed,4,19,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1500,1500
