,Date,Visitor,Visitor_PTS,Home,Home_PTS,Day,Day_Num,Spread,Winner,Home_ELO,Visitor_ELO,Home_TotalWins,Home_TotalLosses,Home_HomeWins,Home_HomeLosses,Home_Streak,Home_CumSpread,Home_AvgSpread,Home_CumPTS,Home_AvgPTS,Home_GamesPlayed,Home_DaysPast,Visitor_TotalWins,Visitor_TotalLosses,Visitor_VisitorWins,Visitor_VisitorLosses,Visitor_Streak,Visitor_CumSpread,Visitor_AvgSpread,Visitor_CumPTS,Visitor_AvgPTS,Visitor_GamesPlayed,Visitor_DaysPast
0,2013-10-29 19:00:00,Orlando Magic,87,Indiana Pacers,97,Tue,3,10,1,1595.376892889911,1337.7572488463115,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
1,2013-10-29 22:30:00,Los Angeles Clippers,103,Los Angeles Lakers,116,Tue,3,13,1,1526.5390175247755,1590.056701536478,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
2,2013-10-29 20:00:00,Chicago Bulls,95,Miami Heat,107,Tue,3,12,1,1675.8212076165546,1506.9337522636351,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
3,2013-10-30 19:00:00,Brooklyn Nets,94,Cleveland Cavaliers,98,Wed,4,4,1,1390.099773170103,1553.4512500071182,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
4,2013-10-30 20:30:00,Atlanta Hawks,109,Dallas Mavericks,118,Wed,4,9,1,1527.8151502797712,1499.4904000667186,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
5,2013-10-30 19:30:00,Washington Wizards,102,Detroit Pistons,113,Wed,4,11,1,1426.5666492426453,1475.1963384917592,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
6,2013-10-30 22:30:00,Los Angeles Lakers,94,Golden State Warriors,125,Wed,4,31,1,1582.5870505565617,1541.781756381099,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,0,1,13,13.0,116,116.0,1,0
7,2013-10-30 20:00:00,Charlotte Bobcats,83,Houston Rockets,96,Wed,4,13,1,1564.626909880594,1358.0162628983162,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
8,2013-10-30 20:00:00,Orlando Magic,115,Minnesota Timberwolves,120,Wed,4,5,1,1461.1255983835933,1334.5740641736909,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,1,-1,-10,-10.0,87,87.0,1,0
9,2013-10-30 20:00:00,Indiana Pacers,95,New Orleans Pelicans,90,Wed,4,-5,0,1500.0,1598.5600775625317,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,0,1,10,10.0,97,97.0,1,0
10,2013-10-30 19:30:00,Milwaukee Bucks,83,New York Knicks,90,Wed,4,7,1,1582.3241290612864,1450.4367840508667,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
