,Date,Visitor,Visitor_PTS,Home,Home_PTS,Day,Day_Num,Spread,Winner,Home_TotalWins,Home_TotalLosses,Home_HomeWins,Home_HomeLosses,Home_Streak,Home_CumSpread,Home_AvgSpread,Home_CumPts,Home_AvgPts,Home_GamesPlayed,Home_DaysPast,Visitor_TotalWins,Visitor_TotalLosses,Visitor_VisitorWins,Visitor_VisitorLosses,Visitor_Streak,Visitor_CumSpread,Visitor_AvgSpread,Visitor_CumPts,Visitor_AvgPts,Visitor_GamesPlayed,Visitor_DaysPast
0,2006-10-31 19:30:00,Phoenix Suns,106,Los Angeles Lakers,114,Tue,3,8,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
1,2006-10-31 20:00:00,Chicago Bulls,108,Miami Heat,66,Tue,3,-42,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
2,2006-11-01 19:30:00,New Orleans/Oklahoma City Hornets,91,Boston Celtics,87,Wed,4,-4,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
3,2006-11-01 19:00:00,Indiana Pacers,106,Charlotte Bobcats,99,Wed,4,-7,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
4,2006-11-01 20:00:00,Washington Wizards,94,Cleveland Cavaliers,97,Wed,4,3,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
5,2006-11-01 20:00:00,Milwaukee Bucks,105,Detroit Pistons,97,Wed,4,-8,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
6,2006-11-01 19:30:00,Los Angeles Lakers,110,Golden State Warriors,98,Wed,4,-12,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,0,0,0,1,8,8.0,114,114.0,1,1.0
7,2006-11-01 19:00:00,New York Knicks,118,Memphis Grizzlies,117,Wed,4,-1,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
8,2006-11-01 19:00:00,Sacramento Kings,83,Minnesota Timberwolves,92,Wed,4,9,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
9,2006-11-01 19:30:00,Toronto Raptors,92,New Jersey Nets,102,Wed,4,10,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
10,2006-11-01 19:00:00,Chicago Bulls,94,Orlando Magic,109,Wed,4,15,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,0,1,0,1,42,42.0,108,108.0,1,0.9583333333333334
