Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Tue Apr 01 2003 07:30pm,Seattle SuperSonics,101,Chicago Bulls,94,Box Score,1,17879,
Tue Apr 01 2003 07:30pm,New Orleans Hornets,86,Dallas Mavericks,95,Box Score,0,19859,
Tue Apr 01 2003 07:00pm,Sacramento Kings,103,Indiana Pacers,98,Box Score,0,17088,
Tue Apr 01 2003 07:30pm,Utah Jazz,94,Los Angeles Clippers,89,Box Score,0,17531,
Tue Apr 01 2003 07:00pm,Denver Nuggets,65,Phoenix Suns,95,Box Score,0,17124,
Tue Apr 01 2003 07:00pm,Golden State Warriors,86,Portland Trail Blazers,100,Box Score,0,20117,
Tue Apr 01 2003 07:30pm,Orlando Magic,105,San Antonio Spurs,118,Box Score,0,18797,
Tue Apr 01 2003 07:00pm,Detroit Pistons,92,Toronto Raptors,85,Box Score,0,18237,
Wed Apr 02 2003 07:00pm,Miami Heat,62,Boston Celtics,90,Box Score,0,17156,
Wed Apr 02 2003 07:00pm,Indiana Pacers,103,Cleveland Cavaliers,82,Box Score,0,9383,
Wed Apr 02 2003 08:30pm,New York Knicks,83,Denver Nuggets,75,Box Score,0,13527,
Wed Apr 02 2003 07:30pm,Toronto Raptors,89,Detroit Pistons,78,Box Score,0,22076,
Wed Apr 02 2003 07:00pm,San Antonio Spurs,105,Memphis Grizzlies,87,Box Score,0,12116,
Wed Apr 02 2003 07:00pm,Houston Rockets,99,Milwaukee Bucks,106,Box Score,0,17624,
Wed Apr 02 2003 07:00pm,Seattle SuperSonics,86,Minnesota Timberwolves,91,Box Score,0,14117,
Wed Apr 02 2003 07:30pm,New Jersey Nets,97,New Orleans Hornets,106,Box Score,0,14311,
Wed Apr 02 2003 07:00pm,Chicago Bulls,101,Philadelphia 76ers,108,Box Score,0,20210,
Wed Apr 02 2003 08:00pm,Sacramento Kings,105,Washington Wizards,99,Box Score,0,20173,
Thu Apr 03 2003 07:00pm,Washington Wizards,89,Atlanta Hawks,91,Box Score,0,19850,
Thu Apr 03 2003 08:30pm,Los Angeles Lakers,100,Dallas Mavericks,89,Box Score,0,20129,
Thu Apr 03 2003 07:00pm,Utah Jazz,93,Portland Trail Blazers,88,Box Score,0,20062,
Fri Apr 04 2003 08:00pm,Sacramento Kings,93,Boston Celtics,92,Box Score,0,18624,
Fri Apr 04 2003 08:00pm,Indiana Pacers,98,Detroit Pistons,92,Box Score,0,22076,
Fri Apr 04 2003 07:30pm,Portland Trail Blazers,122,Golden State Warriors,100,Box Score,0,18803,
Fri Apr 04 2003 07:00pm,Los Angeles Lakers,102,Memphis Grizzlies,101,Box Score,0,19351,
Fri Apr 04 2003 07:30pm,Cleveland Cavaliers,93,Milwaukee Bucks,95,Box Score,0,15039,
Fri Apr 04 2003 07:30pm,Miami Heat,83,New Jersey Nets,99,Box Score,0,16152,
Fri Apr 04 2003 07:00pm,Houston Rockets,88,Philadelphia 76ers,79,Box Score,0,20925,
Fri Apr 04 2003 07:30pm,Los Angeles Clippers,93,Seattle SuperSonics,101,Box Score,0,15273,
Fri Apr 04 2003 07:00pm,San Antonio Spurs,124,Toronto Raptors,98,Box Score,0,18376,
Fri Apr 04 2003 07:00pm,New York Knicks,94,Utah Jazz,92,Box Score,1,19291,
Sat Apr 05 2003 07:00pm,Memphis Grizzlies,91,Atlanta Hawks,97,Box Score,0,12107,
Sat Apr 05 2003 07:30pm,Milwaukee Bucks,115,Chicago Bulls,117,Box Score,1,20037,
Sat Apr 05 2003 07:30pm,New Orleans Hornets,76,Cleveland Cavaliers,79,Box Score,0,11996,
Sat Apr 05 2003 07:30pm,Orlando Magic,90,Dallas Mavericks,108,Box Score,0,19800,
Sat Apr 05 2003 07:30pm,New York Knicks,98,Los Angeles Clippers,109,Box Score,0,18596,
Sat Apr 05 2003 01:30pm,Minnesota Timberwolves,94,Phoenix Suns,111,Box Score,0,18413,
Sun Apr 06 2003 01:00pm,Washington Wizards,99,Boston Celtics,98,Box Score,1,18624,
Sun Apr 06 2003 06:00pm,San Antonio Spurs,89,Detroit Pistons,83,Box Score,0,22076,
Sun Apr 06 2003 03:30pm,Denver Nuggets,99,Golden State Warriors,106,Box Score,0,17021,
Sun Apr 06 2003 07:30pm,Orlando Magic,93,Houston Rockets,114,Box Score,0,15335,
Sun Apr 06 2003 05:00pm,Miami Heat,69,Indiana Pacers,90,Box Score,0,15014,
Sun Apr 06 2003 06:30pm,Phoenix Suns,113,Los Angeles Lakers,115,Box Score,1,18997,
Sun Apr 06 2003 03:30pm,Sacramento Kings,97,Philadelphia 76ers,81,Box Score,0,20702,
Sun Apr 06 2003 06:00pm,Minnesota Timberwolves,97,Portland Trail Blazers,78,Box Score,0,20169,
Sun Apr 06 2003 06:00pm,Utah Jazz,80,Seattle SuperSonics,82,Box Score,0,15588,
Sun Apr 06 2003 01:30pm,New Jersey Nets,96,Toronto Raptors,87,Box Score,0,19319,
Tue Apr 08 2003 07:30pm,Indiana Pacers,103,Chicago Bulls,115,Box Score,0,20198,
Tue Apr 08 2003 07:00pm,Washington Wizards,100,Cleveland Cavaliers,91,Box Score,0,20562,
Tue Apr 08 2003 07:00pm,Phoenix Suns,98,Denver Nuggets,78,Box Score,0,13873,
Tue Apr 08 2003 07:30pm,Utah Jazz,102,Golden State Warriors,128,Box Score,0,16268,
Tue Apr 08 2003 07:30pm,Portland Trail Blazers,81,Houston Rockets,66,Box Score,0,10900,
Tue Apr 08 2003 07:30pm,Dallas Mavericks,99,Los Angeles Lakers,108,Box Score,0,18997,
Tue Apr 08 2003 07:00pm,Los Angeles Clippers,108,Memphis Grizzlies,111,Box Score,0,11618,
Tue Apr 08 2003 07:30pm,Toronto Raptors,83,Miami Heat,89,Box Score,0,14365,
Tue Apr 08 2003 07:30pm,Atlanta Hawks,95,New York Knicks,99,Box Score,0,18871,
Tue Apr 08 2003 07:00pm,Detroit Pistons,74,Philadelphia 76ers,91,Box Score,0,20520,
Tue Apr 08 2003 07:00pm,Seattle SuperSonics,85,Sacramento Kings,107,Box Score,0,17317,
Wed Apr 09 2003 07:30pm,New Jersey Nets,92,Atlanta Hawks,97,Box Score,0,17119,
Wed Apr 09 2003 07:30pm,Chicago Bulls,102,Detroit Pistons,111,Box Score,1,18966,
Wed Apr 09 2003 07:00pm,Los Angeles Clippers,92,Milwaukee Bucks,112,Box Score,0,14071,
Wed Apr 09 2003 07:30pm,Cleveland Cavaliers,81,New Orleans Hornets,100,Box Score,0,15551,
Wed Apr 09 2003 07:00pm,Toronto Raptors,82,Orlando Magic,88,Box Score,0,14581,
Wed Apr 09 2003 07:00pm,Dallas Mavericks,89,Phoenix Suns,112,Box Score,0,17136,
Wed Apr 09 2003 07:30pm,Portland Trail Blazers,79,San Antonio Spurs,84,Box Score,0,18797,
Wed Apr 09 2003 07:00pm,Minnesota Timberwolves,92,Seattle SuperSonics,100,Box Score,0,16039,
Wed Apr 09 2003 07:00pm,Houston Rockets,73,Utah Jazz,94,Box Score,0,19661,
Wed Apr 09 2003 07:00pm,Boston Celtics,87,Washington Wizards,83,Box Score,0,20173,
Thu Apr 10 2003 07:30pm,Philadelphia 76ers,99,Boston Celtics,78,Box Score,0,18624,
Thu Apr 10 2003 07:00pm,Sacramento Kings,104,Los Angeles Lakers,117,Box Score,0,18997,
Fri Apr 11 2003 07:30pm,Cleveland Cavaliers,89,Atlanta Hawks,109,Box Score,0,15056,
Fri Apr 11 2003 07:30pm,New Jersey Nets,86,Chicago Bulls,95,Box Score,0,22087,
Fri Apr 11 2003 07:00pm,Orlando Magic,98,Indiana Pacers,86,Box Score,0,18345,
Fri Apr 11 2003 07:00pm,Portland Trail Blazers,93,Memphis Grizzlies,96,Box Score,0,17173,
Fri Apr 11 2003 08:00pm,Washington Wizards,91,Miami Heat,87,Box Score,0,20152,
Fri Apr 11 2003 07:00pm,Los Angeles Clippers,90,Minnesota Timberwolves,106,Box Score,0,16107,
Fri Apr 11 2003 07:30pm,Detroit Pistons,89,New Orleans Hornets,93,Box Score,0,17394,
Fri Apr 11 2003 08:00pm,Philadelphia 76ers,103,New York Knicks,108,Box Score,0,19763,
Fri Apr 11 2003 07:30pm,Golden State Warriors,101,Phoenix Suns,117,Box Score,0,17792,
Fri Apr 11 2003 07:30pm,Denver Nuggets,103,Sacramento Kings,105,Box Score,0,17317,
Fri Apr 11 2003 07:30pm,Seattle SuperSonics,86,San Antonio Spurs,94,Box Score,0,19217,
Fri Apr 11 2003 07:00pm,Milwaukee Bucks,105,Toronto Raptors,103,Box Score,0,17762,
Fri Apr 11 2003 07:00pm,Dallas Mavericks,92,Utah Jazz,95,Box Score,0,19896,
Sat Apr 12 2003 07:30pm,New York Knicks,99,Cleveland Cavaliers,104,Box Score,1,12684,
Sat Apr 12 2003 07:30pm,Golden State Warriors,108,Dallas Mavericks,117,Box Score,0,19980,
Sat Apr 12 2003 07:30pm,Los Angeles Clippers,101,Denver Nuggets,79,Box Score,0,18319,
Sat Apr 12 2003 07:30pm,Seattle SuperSonics,86,Houston Rockets,101,Box Score,0,14800,
Sat Apr 12 2003 07:30pm,Toronto Raptors,86,New Jersey Nets,94,Box Score,0,15306,
Sat Apr 12 2003 07:00pm,Boston Celtics,86,Orlando Magic,89,Box Score,0,17283,
Sat Apr 12 2003 07:00pm,Atlanta Hawks,101,Washington Wizards,100,Box Score,0,20173,
Sun Apr 13 2003 04:30pm,Detroit Pistons,110,Memphis Grizzlies,107,Box Score,2,15704,
Sun Apr 13 2003 06:00pm,Boston Celtics,94,Miami Heat,86,Box Score,0,16500,
Sun Apr 13 2003 02:00pm,Indiana Pacers,98,Milwaukee Bucks,107,Box Score,0,17064,
Sun Apr 13 2003 02:30pm,Chicago Bulls,95,Minnesota Timberwolves,119,Box Score,0,18171,
Sun Apr 13 2003 06:00pm,New Orleans Hornets,94,Philadelphia 76ers,89,Box Score,0,20576,
Sun Apr 13 2003 06:00pm,San Antonio Spurs,85,Phoenix Suns,92,Box Score,0,19023,
Sun Apr 13 2003 12:30pm,Los Angeles Lakers,99,Portland Trail Blazers,101,Box Score,0,20580,
Mon Apr 14 2003 07:30pm,Orlando Magic,84,Atlanta Hawks,100,Box Score,0,17018,
Mon Apr 14 2003 07:30pm,Seattle SuperSonics,106,Dallas Mavericks,109,Box Score,0,19880,
Mon Apr 14 2003 07:30pm,Cleveland Cavaliers,88,Detroit Pistons,89,Box Score,0,18712,
Mon Apr 14 2003 07:30pm,Los Angeles Clippers,122,Golden State Warriors,113,Box Score,0,16638,
Mon Apr 14 2003 07:30pm,New Orleans Hornets,87,New Jersey Nets,74,Box Score,0,12723,
Mon Apr 14 2003 07:00pm,San Antonio Spurs,91,Utah Jazz,83,Box Score,0,19821,
Mon Apr 14 2003 07:00pm,New York Knicks,93,Washington Wizards,79,Box Score,0,20173,
Tue Apr 15 2003 07:30pm,Philadelphia 76ers,106,Chicago Bulls,115,Box Score,0,22408,
Tue Apr 15 2003 07:30pm,Memphis Grizzlies,86,Houston Rockets,97,Box Score,0,14704,
Tue Apr 15 2003 07:30pm,Denver Nuggets,104,Los Angeles Lakers,126,Box Score,0,18997,
Tue Apr 15 2003 07:30pm,Indiana Pacers,109,New York Knicks,93,Box Score,0,19763,
Tue Apr 15 2003 07:00pm,Phoenix Suns,102,Portland Trail Blazers,120,Box Score,0,20580,
Tue Apr 15 2003 07:00pm,Miami Heat,103,Toronto Raptors,99,Box Score,0,17666,
Wed Apr 16 2003 07:00pm,Detroit Pistons,92,Boston Celtics,99,Box Score,0,17069,
Wed Apr 16 2003 07:00pm,Toronto Raptors,86,Cleveland Cavaliers,96,Box Score,0,20251,
Wed Apr 16 2003 07:00pm,Houston Rockets,89,Denver Nuggets,84,Box Score,0,18516,
Wed Apr 16 2003 07:30pm,Los Angeles Lakers,117,Golden State Warriors,111,Box Score,0,20234,
Wed Apr 16 2003 07:00pm,New Jersey Nets,83,Indiana Pacers,90,Box Score,0,17248,
Wed Apr 16 2003 07:30pm,Portland Trail Blazers,93,Los Angeles Clippers,107,Box Score,0,19060,
Wed Apr 16 2003 07:00pm,Minnesota Timberwolves,95,Memphis Grizzlies,87,Box Score,0,15478,
Wed Apr 16 2003 07:00pm,Orlando Magic,87,Milwaukee Bucks,93,Box Score,0,15714,
Wed Apr 16 2003 07:30pm,Atlanta Hawks,77,New Orleans Hornets,92,Box Score,0,16815,
Wed Apr 16 2003 07:00pm,Washington Wizards,87,Philadelphia 76ers,107,Box Score,0,21257,
Wed Apr 16 2003 07:00pm,Utah Jazz,84,Sacramento Kings,95,Box Score,0,17317,
Wed Apr 16 2003 07:30pm,Dallas Mavericks,93,San Antonio Spurs,72,Box Score,0,19217,
Wed Apr 16 2003 07:00pm,Phoenix Suns,70,Seattle SuperSonics,84,Box Score,0,17072,
Sat Apr 19 2003 07:00pm,Portland Trail Blazers,86,Dallas Mavericks,96,Box Score,0,20336,
Sat Apr 19 2003 02:00pm,Boston Celtics,103,Indiana Pacers,100,Box Score,0,16380,
Sat Apr 19 2003 12:30pm,Milwaukee Bucks,96,New Jersey Nets,109,Box Score,0,16102,
Sat Apr 19 2003 07:30pm,Utah Jazz,90,Sacramento Kings,96,Box Score,0,17317,
Sat Apr 19 2003 04:30pm,Phoenix Suns,96,San Antonio Spurs,95,Box Score,1,19217,
Sun Apr 20 2003 12:30pm,Orlando Magic,99,Detroit Pistons,94,Box Score,0,21261,
Sun Apr 20 2003 02:30pm,Los Angeles Lakers,117,Minnesota Timberwolves,98,Box Score,0,17097,
Sun Apr 20 2003 08:00pm,New Orleans Hornets,90,Philadelphia 76ers,98,Box Score,0,19711,
Mon Apr 21 2003 07:30pm,Boston Celtics,77,Indiana Pacers,89,Box Score,0,15881,
Mon Apr 21 2003 07:30pm,Utah Jazz,95,Sacramento Kings,108,Box Score,0,17317,
Mon Apr 21 2003 07:00pm,Phoenix Suns,76,San Antonio Spurs,84,Box Score,0,19217,
Tue Apr 22 2003 08:30pm,Los Angeles Lakers,91,Minnesota Timberwolves,119,Box Score,0,17132,
Tue Apr 22 2003 07:00pm,Milwaukee Bucks,88,New Jersey Nets,85,Box Score,0,17633,
Wed Apr 23 2003 08:30pm,Portland Trail Blazers,99,Dallas Mavericks,103,Box Score,0,20356,
Wed Apr 23 2003 08:00pm,Orlando Magic,77,Detroit Pistons,89,Box Score,0,22076,
Wed Apr 23 2003 07:00pm,New Orleans Hornets,85,Philadelphia 76ers,90,Box Score,0,20229,
Thu Apr 24 2003 06:00pm,Indiana Pacers,83,Boston Celtics,101,Box Score,0,18624,
Thu Apr 24 2003 08:00pm,Minnesota Timberwolves,114,Los Angeles Lakers,110,Box Score,1,18997,
Thu Apr 24 2003 07:30pm,New Jersey Nets,103,Milwaukee Bucks,101,Box Score,0,17539,
Fri Apr 25 2003 08:00pm,Detroit Pistons,80,Orlando Magic,89,Box Score,0,17283,
Fri Apr 25 2003 07:00pm,San Antonio Spurs,99,Phoenix Suns,86,Box Score,0,19023,
Fri Apr 25 2003 07:30pm,Dallas Mavericks,115,Portland Trail Blazers,103,Box Score,0,19980,
Sat Apr 26 2003 04:00pm,New Jersey Nets,114,Milwaukee Bucks,119,Box Score,1,18391,
Sat Apr 26 2003 06:30pm,Philadelphia 76ers,85,New Orleans Hornets,99,Box Score,0,17320,
Sat Apr 26 2003 08:00pm,Sacramento Kings,104,Utah Jazz,107,Box Score,0,19911,
Sun Apr 27 2003 12:00pm,Indiana Pacers,92,Boston Celtics,102,Box Score,0,18624,
Sun Apr 27 2003 12:00pm,Minnesota Timberwolves,97,Los Angeles Lakers,102,Box Score,0,18997,
Sun Apr 27 2003 05:30pm,Detroit Pistons,92,Orlando Magic,100,Box Score,0,17283,
Sun Apr 27 2003 07:30pm,San Antonio Spurs,84,Phoenix Suns,86,Box Score,0,18756,
Sun Apr 27 2003 05:00pm,Dallas Mavericks,79,Portland Trail Blazers,98,Box Score,0,19980,
