Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Sun Feb 01 2004 01:00pm,Philadelphia 76ers,101,Minnesota Timberwolves,106,Box Score,0,16987,
Sun Feb 01 2004 12:30pm,Los Angeles Lakers,84,Toronto Raptors,83,Box Score,0,20116,
Sun Feb 01 2004 12:00pm,Cleveland Cavaliers,104,Washington Wizards,100,Box Score,0,15541,
Mon Feb 02 2004 07:30pm,Los Angeles Clippers,101,Atlanta Hawks,95,Box Score,0,8508,
Mon Feb 02 2004 07:00pm,Portland Trail Blazers,97,Denver Nuggets,116,Box Score,0,15866,
Mon Feb 02 2004 07:00pm,Los Angeles Lakers,72,Indiana Pacers,85,Box Score,0,18345,
Mon Feb 02 2004 07:00pm,Golden State Warriors,101,Memphis Grizzlies,106,Box Score,0,10229,
Mon Feb 02 2004 07:30pm,Detroit Pistons,102,Miami Heat,100,Box Score,1,15438,
Mon Feb 02 2004 07:00pm,New Jersey Nets,91,New Orleans Hornets,70,Box Score,0,12107,
Mon Feb 02 2004 07:00pm,Houston Rockets,79,Phoenix Suns,99,Box Score,0,16446,
Mon Feb 02 2004 07:00pm,Chicago Bulls,97,Seattle SuperSonics,109,Box Score,0,14372,
Mon Feb 02 2004 07:00pm,San Antonio Spurs,83,Utah Jazz,65,Box Score,0,19911,
Tue Feb 03 2004 07:30pm,Golden State Warriors,93,Dallas Mavericks,107,Box Score,0,19865,
Tue Feb 03 2004 07:30pm,Cleveland Cavaliers,85,Detroit Pistons,82,Box Score,0,22076,
Tue Feb 03 2004 07:00pm,Orlando Magic,100,Minnesota Timberwolves,113,Box Score,0,14979,
Tue Feb 03 2004 07:30pm,Indiana Pacers,90,New York Knicks,97,Box Score,0,18542,
Tue Feb 03 2004 07:00pm,Toronto Raptors,93,Philadelphia 76ers,80,Box Score,0,19049,
Tue Feb 03 2004 07:00pm,Seattle SuperSonics,101,Sacramento Kings,117,Box Score,0,17317,
Wed Feb 04 2004 07:30pm,Minnesota Timberwolves,89,Atlanta Hawks,97,Box Score,0,16073,
Wed Feb 04 2004 07:00pm,Los Angeles Clippers,95,Boston Celtics,86,Box Score,0,14342,
Wed Feb 04 2004 08:00pm,Los Angeles Lakers,111,Cleveland Cavaliers,106,Box Score,1,20562,
Wed Feb 04 2004 07:30pm,Milwaukee Bucks,89,Houston Rockets,103,Box Score,0,12223,
Wed Feb 04 2004 07:30pm,Miami Heat,88,New Jersey Nets,99,Box Score,0,11668,
