Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Wed Jun 01 2005 06:00pm,San Antonio Spurs,101,Phoenix Suns,95,Box Score,0,18422,
Thu Jun 02 2005 08:00pm,Detroit Pistons,76,Miami Heat,88,Box Score,0,20225,
Sat Jun 04 2005 08:00pm,Miami Heat,66,Detroit Pistons,91,Box Score,0,22076,
Mon Jun 06 2005 08:00pm,Detroit Pistons,88,Miami Heat,82,Box Score,0,20241,
Thu Jun 09 2005 08:00pm,Detroit Pistons,69,San Antonio Spurs,84,Box Score,0,18797,
Sun Jun 12 2005 08:00pm,Detroit Pistons,76,San Antonio Spurs,97,Box Score,0,18797,
Tue Jun 14 2005 09:00pm,San Antonio Spurs,79,Detroit Pistons,96,Box Score,0,22076,
Thu Jun 16 2005 09:00pm,San Antonio Spurs,71,Detroit Pistons,102,Box Score,0,22076,
Sun Jun 19 2005 09:00pm,San Antonio Spurs,96,Detroit Pistons,95,Box Score,1,22076,
Tue Jun 21 2005 08:00pm,Detroit Pistons,95,San Antonio Spurs,86,Box Score,0,18797,
Thu Jun 23 2005 08:00pm,Detroit Pistons,74,San Antonio Spurs,81,Box Score,0,18797,
