Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Sun Jan 01 2006 06:30pm,Utah Jazz,98,Los Angeles Lakers,94,Box Score,0,18310,
Sun Jan 01 2006 06:00pm,Minnesota Timberwolves,70,Miami Heat,97,Box Score,0,20274,
Sun Jan 01 2006 06:00pm,Los Angeles Clippers,100,Portland Trail Blazers,94,Box Score,0,13792,
Mon Jan 02 2006 07:30pm,Milwaukee Bucks,93,Chicago Bulls,92,Box Score,0,20968,
Mon Jan 02 2006 07:00pm,Boston Celtics,110,Denver Nuggets,120,Box Score,0,14722,
Mon Jan 02 2006 07:00pm,Seattle SuperSonics,96,Indiana Pacers,115,Box Score,0,14073,
Mon Jan 02 2006 07:00pm,Charlotte Bobcats,86,New Orleans/Oklahoma City Hornets,103,Box Score,0,17683,
Mon Jan 02 2006 07:30pm,Phoenix Suns,133,New York Knicks,140,Box Score,3,19763,
Tue Jan 03 2006 07:00pm,Toronto Raptors,108,Atlanta Hawks,97,Box Score,0,10048,
Tue Jan 03 2006 07:30pm,Portland Trail Blazers,81,Dallas Mavericks,95,Box Score,0,20018,
Tue Jan 03 2006 07:30pm,Orlando Magic,99,Detroit Pistons,108,Box Score,0,22076,
Tue Jan 03 2006 07:00pm,Golden State Warriors,94,Memphis Grizzlies,104,Box Score,0,14697,
Tue Jan 03 2006 07:00pm,Philadelphia 76ers,111,Sacramento Kings,98,Box Score,0,17317,
Tue Jan 03 2006 07:00pm,Los Angeles Lakers,80,Utah Jazz,90,Box Score,0,19013,
Tue Jan 03 2006 07:00pm,Houston Rockets,123,Washington Wizards,111,Box Score,0,14883,
Wed Jan 04 2006 07:30pm,Charlotte Bobcats,106,Boston Celtics,109,Box Score,0,14202,
Wed Jan 04 2006 07:30pm,Seattle SuperSonics,101,Chicago Bulls,97,Box Score,0,19418,
Wed Jan 04 2006 07:00pm,Indiana Pacers,86,Denver Nuggets,106,Box Score,0,14041,
Wed Jan 04 2006 07:00pm,Cleveland Cavaliers,91,Milwaukee Bucks,84,Box Score,0,15785,
Wed Jan 04 2006 07:00pm,Dallas Mavericks,78,Minnesota Timberwolves,91,Box Score,0,15702,
Wed Jan 04 2006 07:00pm,Miami Heat,92,New Orleans/Oklahoma City Hornets,107,Box Score,0,19326,
Wed Jan 04 2006 07:00pm,Philadelphia 76ers,85,Phoenix Suns,105,Box Score,0,18301,
Wed Jan 04 2006 07:30pm,Portland Trail Blazers,75,San Antonio Spurs,106,Box Score,0,18797,
Wed Jan 04 2006 07:00pm,Orlando Magic,97,Toronto Raptors,121,Box Score,0,14085,
Thu Jan 05 2006 08:00pm,Houston Rockets,90,Cleveland Cavaliers,81,Box Score,0,18019,
Thu Jan 05 2006 07:30pm,Indiana Pacers,99,Golden State Warriors,89,Box Score,0,18237,
Fri Jan 06 2006 07:30pm,Atlanta Hawks,103,Boston Celtics,98,Box Score,0,17015,
Fri Jan 06 2006 07:00pm,Dallas Mavericks,114,Denver Nuggets,112,Box Score,1,18256,
Fri Jan 06 2006 08:00pm,Seattle SuperSonics,85,Detroit Pistons,97,Box Score,0,22076,
Fri Jan 06 2006 07:30pm,Philadelphia 76ers,93,Los Angeles Lakers,119,Box Score,0,18997,
Fri Jan 06 2006 07:00pm,Utah Jazz,65,Memphis Grizzlies,87,Box Score,0,17019,
Fri Jan 06 2006 07:30pm,Chicago Bulls,105,Milwaukee Bucks,91,Box Score,0,17214,
Fri Jan 06 2006 07:30pm,Orlando Magic,106,New Jersey Nets,113,Box Score,0,15332,
Fri Jan 06 2006 07:00pm,Portland Trail Blazers,80,New Orleans/Oklahoma City Hornets,90,Box Score,0,18995,
Fri Jan 06 2006 07:30pm,Washington Wizards,92,New York Knicks,113,Box Score,0,17977,
Fri Jan 06 2006 08:30pm,Miami Heat,93,Phoenix Suns,111,Box Score,0,18422,
