Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Wed Mar 01 2006 07:30pm,Miami Heat,103,Boston Celtics,96,Box Score,0,18624,
Wed Mar 01 2006 07:00pm,Sacramento Kings,97,Cleveland Cavaliers,90,Box Score,0,17363,
Wed Mar 01 2006 07:00pm,Detroit Pistons,87,Denver Nuggets,98,Box Score,0,19099,
Wed Mar 01 2006 07:30pm,Orlando Magic,94,Golden State Warriors,98,Box Score,0,17064,
Wed Mar 01 2006 08:00pm,Philadelphia 76ers,106,Houston Rockets,101,Box Score,0,15027,
Wed Mar 01 2006 07:30pm,New Orleans/Oklahoma City Hornets,67,Los Angeles Clippers,89,Box Score,0,16157,
Wed Mar 01 2006 07:00pm,New York Knicks,99,Memphis Grizzlies,101,Box Score,0,14678,
Wed Mar 01 2006 07:00pm,New Jersey Nets,90,Minnesota Timberwolves,100,Box Score,0,15369,
Wed Mar 01 2006 07:00pm,Milwaukee Bucks,110,Phoenix Suns,123,Box Score,0,17701,
Wed Mar 01 2006 07:00pm,Los Angeles Lakers,93,Portland Trail Blazers,99,Box Score,0,19454,
Wed Mar 01 2006 07:00pm,Atlanta Hawks,113,Toronto Raptors,111,Box Score,1,15137,
Wed Mar 01 2006 07:00pm,Charlotte Bobcats,104,Utah Jazz,89,Box Score,0,18177,
Wed Mar 01 2006 07:00pm,Indiana Pacers,99,Washington Wizards,93,Box Score,0,13411,
Thu Mar 02 2006 06:00pm,Cleveland Cavaliers,92,Chicago Bulls,91,Box Score,0,20726,
Thu Mar 02 2006 08:30pm,Dallas Mavericks,89,San Antonio Spurs,98,Box Score,0,18797,
Fri Mar 03 2006 07:00pm,Sacramento Kings,102,Atlanta Hawks,93,Box Score,0,15200,
Fri Mar 03 2006 07:30pm,Indiana Pacers,98,Boston Celtics,99,Box Score,0,18624,
Fri Mar 03 2006 07:30pm,Charlotte Bobcats,76,Dallas Mavericks,90,Box Score,0,20075,
Fri Mar 03 2006 07:30pm,Los Angeles Lakers,106,Golden State Warriors,94,Box Score,0,20375,
Fri Mar 03 2006 07:30pm,Denver Nuggets,78,Houston Rockets,89,Box Score,0,14727,
Fri Mar 03 2006 07:30pm,Chicago Bulls,108,New York Knicks,101,Box Score,0,19763,
Fri Mar 03 2006 07:30pm,Washington Wizards,113,Philadelphia 76ers,119,Box Score,0,14832,
Fri Mar 03 2006 07:00pm,Orlando Magic,118,Phoenix Suns,123,Box Score,0,18422,
