Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Fri May 01 2009 08:00pm,Atlanta Hawks,72,Miami Heat,98,Box Score,0,19600,
Sat May 02 2009 08:00pm,Chicago Bulls,99,Boston Celtics,109,Box Score,0,18624,
Sun May 03 2009 01:00pm,Miami Heat,78,Atlanta Hawks,91,Box Score,0,18864,
Sun May 03 2009 01:30pm,Dallas Mavericks,95,Denver Nuggets,109,Box Score,0,19631,
Mon May 04 2009 08:00pm,Orlando Magic,95,Boston Celtics,90,Box Score,0,18624,
Mon May 04 2009 07:30pm,Houston Rockets,100,Los Angeles Lakers,92,Box Score,0,18997,
Tue May 05 2009 08:00pm,Atlanta Hawks,72,Cleveland Cavaliers,99,Box Score,0,20562,
Tue May 05 2009 08:30pm,Dallas Mavericks,105,Denver Nuggets,117,Box Score,0,19890,
Wed May 06 2009 08:00pm,Orlando Magic,94,Boston Celtics,112,Box Score,0,18624,
Wed May 06 2009 07:30pm,Houston Rockets,98,Los Angeles Lakers,111,Box Score,0,18997,
Thu May 07 2009 08:00pm,Atlanta Hawks,85,Cleveland Cavaliers,105,Box Score,0,20562,
Fri May 08 2009 08:30pm,Los Angeles Lakers,108,Houston Rockets,94,Box Score,0,18495,
Fri May 08 2009 07:00pm,Boston Celtics,96,Orlando Magic,117,Box Score,0,17461,
Sat May 09 2009 08:00pm,Cleveland Cavaliers,97,Atlanta Hawks,82,Box Score,0,20143,
Sat May 09 2009 04:00pm,Denver Nuggets,106,Dallas Mavericks,105,Box Score,0,20620,
Sun May 10 2009 02:30pm,Los Angeles Lakers,87,Houston Rockets,99,Box Score,0,18313,
Sun May 10 2009 08:00pm,Boston Celtics,95,Orlando Magic,94,Box Score,0,17461,
Mon May 11 2009 07:00pm,Cleveland Cavaliers,84,Atlanta Hawks,74,Box Score,0,19241,
Mon May 11 2009 08:30pm,Denver Nuggets,117,Dallas Mavericks,119,Box Score,0,20523,
Tue May 12 2009 08:00pm,Orlando Magic,88,Boston Celtics,92,Box Score,0,18624,
Tue May 12 2009 07:30pm,Houston Rockets,78,Los Angeles Lakers,118,Box Score,0,18997,
Wed May 13 2009 07:00pm,Dallas Mavericks,110,Denver Nuggets,124,Box Score,0,19962,
Thu May 14 2009 08:30pm,Los Angeles Lakers,80,Houston Rockets,95,Box Score,0,18501,
Thu May 14 2009 07:00pm,Boston Celtics,75,Orlando Magic,83,Box Score,0,17461,
Sun May 17 2009 08:00pm,Orlando Magic,101,Boston Celtics,82,Box Score,0,18624,
Sun May 17 2009 12:30pm,Houston Rockets,70,Los Angeles Lakers,89,Box Score,0,18997,
Tue May 19 2009 06:00pm,Denver Nuggets,103,Los Angeles Lakers,105,Box Score,0,18997,
Wed May 20 2009 08:30pm,Orlando Magic,107,Cleveland Cavaliers,106,Box Score,0,20562,
Thu May 21 2009 06:00pm,Denver Nuggets,106,Los Angeles Lakers,103,Box Score,0,18997,
Fri May 22 2009 08:30pm,Orlando Magic,95,Cleveland Cavaliers,96,Box Score,0,20562,
Sat May 23 2009 06:30pm,Los Angeles Lakers,103,Denver Nuggets,97,Box Score,0,19939,
Sun May 24 2009 08:30pm,Cleveland Cavaliers,89,Orlando Magic,99,Box Score,0,17461,
Mon May 25 2009 07:00pm,Los Angeles Lakers,101,Denver Nuggets,120,Box Score,0,20037,
Tue May 26 2009 08:30pm,Cleveland Cavaliers,114,Orlando Magic,116,Box Score,1,17461,
Wed May 27 2009 06:00pm,Denver Nuggets,94,Los Angeles Lakers,103,Box Score,0,18997,
Thu May 28 2009 08:30pm,Orlando Magic,102,Cleveland Cavaliers,112,Box Score,0,20562,
Fri May 29 2009 07:00pm,Los Angeles Lakers,119,Denver Nuggets,92,Box Score,0,20053,
Sat May 30 2009 08:30pm,Cleveland Cavaliers,90,Orlando Magic,103,Box Score,0,17461,
