,Date,Time,Visitor,Vis_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
0,Tue Oct 27 2009,7:30 pm,Boston Celtics,95,Cleveland Cavaliers,89,Box Score,,20562,
1,Tue Oct 27 2009,8:30 pm,Washington Wizards,102,Dallas Mavericks,91,Box Score,,19871,
2,Tue Oct 27 2009,10:30 pm,Los Angeles Clippers,92,Los Angeles Lakers,99,Box Score,,18997,
3,Tue Oct 27 2009,10:00 pm,Houston Rockets,87,Portland Trail Blazers,96,Box Score,,20403,
4,Wed Oct 28 2009,7:00 pm,Indiana Pacers,109,Atlanta Hawks,120,Box Score,,17998,
5,Wed Oct 28 2009,7:30 pm,Charlotte Bobcats,59,Boston Celtics,92,Box Score,,18624,
6,Wed Oct 28 2009,10:30 pm,Utah Jazz,105,Denver Nuggets,114,Box Score,,19155,
7,Wed Oct 28 2009,10:30 pm,Houston Rockets,108,Golden State Warriors,107,Box Score,,19596,
8,Wed Oct 28 2009,10:30 pm,Phoenix Suns,109,Los Angeles Clippers,107,Box Score,,15974,
9,Wed Oct 28 2009,8:00 pm,Detroit Pistons,96,Memphis Grizzlies,74,Box Score,,17212,
10,Wed Oct 28 2009,7:30 pm,New York Knicks,93,Miami Heat,115,Box Score,,19600,
11,Wed Oct 28 2009,8:00 pm,New Jersey Nets,93,Minnesota Timberwolves,95,Box Score,,18358,
12,Wed Oct 28 2009,8:00 pm,Sacramento Kings,89,Oklahoma City Thunder,102,Box Score,,18203,
13,Wed Oct 28 2009,7:00 pm,Philadelphia 76ers,106,Orlando Magic,120,Box Score,,17461,
14,Wed Oct 28 2009,8:00 pm,New Orleans Hornets,96,San Antonio Spurs,113,Box Score,,18581,
15,Wed Oct 28 2009,7:00 pm,Cleveland Cavaliers,91,Toronto Raptors,101,Box Score,,20152,
16,Thu Oct 29 2009,8:00 pm,San Antonio Spurs,85,Chicago Bulls,92,Box Score,,21412,
17,Thu Oct 29 2009,10:30 pm,Denver Nuggets,97,Portland Trail Blazers,94,Box Score,,20218,
18,Fri Oct 30 2009,7:30 pm,Washington Wizards,89,Atlanta Hawks,100,Box Score,,17079,
19,Fri Oct 30 2009,8:00 pm,Chicago Bulls,90,Boston Celtics,118,Box Score,,18624,
20,Fri Oct 30 2009,7:00 pm,New York Knicks,100,Charlotte Bobcats,102,Box Score,2OT,18624,
21,Fri Oct 30 2009,8:00 pm,Oklahoma City Thunder,91,Detroit Pistons,83,Box Score,,22076,
22,Fri Oct 30 2009,8:00 pm,Miami Heat,96,Indiana Pacers,83,Box Score,,18165,
23,Fri Oct 30 2009,10:30 pm,Dallas Mavericks,94,Los Angeles Lakers,80,Box Score,,18997,
24,Fri Oct 30 2009,8:00 pm,Toronto Raptors,107,Memphis Grizzlies,115,Box Score,,10563,
25,Fri Oct 30 2009,8:00 pm,Cleveland Cavaliers,104,Minnesota Timberwolves,87,Box Score,,19356,
26,Fri Oct 30 2009,8:00 pm,Orlando Magic,95,New Jersey Nets,85,Box Score,,17525,
27,Fri Oct 30 2009,8:00 pm,Sacramento Kings,92,New Orleans Hornets,97,Box Score,,17306,
28,Fri Oct 30 2009,7:00 pm,Milwaukee Bucks,86,Philadelphia 76ers,99,Box Score,,14638,
29,Fri Oct 30 2009,10:00 pm,Golden State Warriors,101,Phoenix Suns,123,Box Score,,18422,
30,Fri Oct 30 2009,9:00 pm,Los Angeles Clippers,98,Utah Jazz,111,Box Score,,19911,
31,Sat Oct 31 2009,7:30 pm,Charlotte Bobcats,79,Cleveland Cavaliers,90,Box Score,,20562,
