Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.
Sun Apr 01 2012 03:30pm,Miami Heat,72,Boston Celtics,91,Box Score,0,18624
Sun Apr 01 2012 06:00pm,Indiana Pacers,104,Houston Rockets,102,Box Score,1,18197
Sun Apr 01 2012 06:30pm,Golden State Warriors,112,Los Angeles Lakers,120,Box Score,0,18997
Sun Apr 01 2012 12:00pm,Chicago Bulls,78,Oklahoma City Thunder,92,Box Score,0,18203
Sun Apr 01 2012 06:00pm,Denver Nuggets,104,Orlando Magic,101,Box Score,0,18846
Sun Apr 01 2012 06:00pm,New Orleans Hornets,75,Phoenix Suns,92,Box Score,0,15753
Sun Apr 01 2012 06:00pm,Minnesota Timberwolves,106,Portland Trail Blazers,119,Box Score,0,20359
Sun Apr 01 2012 06:00pm,Washington Wizards,92,Toronto Raptors,99,Box Score,0,16858
Mon Apr 02 2012 07:00pm,Houston Rockets,99,Chicago Bulls,93,Box Score,0,21936
Mon Apr 02 2012 07:30pm,Los Angeles Clippers,94,Dallas Mavericks,75,Box Score,0,20479
Mon Apr 02 2012 07:00pm,Memphis Grizzlies,94,Oklahoma City Thunder,88,Box Score,0,18203
Mon Apr 02 2012 07:00pm,Utah Jazz,102,Portland Trail Blazers,97,Box Score,0,20050
Mon Apr 02 2012 07:00pm,Minnesota Timberwolves,108,Sacramento Kings,116,Box Score,0,12279
Mon Apr 02 2012 07:00pm,Milwaukee Bucks,112,Washington Wizards,98,Box Score,0,16234
Tue Apr 03 2012 07:00pm,San Antonio Spurs,125,Cleveland Cavaliers,90,Box Score,0,14759
Tue Apr 03 2012 07:30pm,Orlando Magic,95,Detroit Pistons,102,Box Score,0,16741
Tue Apr 03 2012 07:00pm,New York Knicks,104,Indiana Pacers,112,Box Score,0,17042
Tue Apr 03 2012 07:30pm,New Jersey Nets,87,Los Angeles Lakers,91,Box Score,0,18997
Tue Apr 03 2012 07:00pm,Golden State Warriors,94,Memphis Grizzlies,98,Box Score,0,14310
Tue Apr 03 2012 07:30pm,Philadelphia 76ers,93,Miami Heat,99,Box Score,0,20015
Tue Apr 03 2012 07:00pm,Phoenix Suns,109,Sacramento Kings,100,Box Score,0,12462
Tue Apr 03 2012 07:00pm,Charlotte Bobcats,87,Toronto Raptors,92,Box Score,0,14640
Wed Apr 04 2012 07:30pm,Charlotte Bobcats,93,Atlanta Hawks,120,Box Score,0,13046
Wed Apr 04 2012 07:30pm,San Antonio Spurs,87,Boston Celtics,86,Box Score,0,18624
Wed Apr 04 2012 07:30pm,Memphis Grizzlies,85,Dallas Mavericks,95,Box Score,0,20233
Wed Apr 04 2012 07:30pm,Los Angeles Lakers,113,Los Angeles Clippers,108,Box Score,0,19819
Wed Apr 04 2012 08:00pm,Oklahoma City Thunder,93,Miami Heat,98,Box Score,0,20104
Wed Apr 04 2012 07:00pm,Cleveland Cavaliers,98,Milwaukee Bucks,107,Box Score,0,11849
Wed Apr 04 2012 07:00pm,Golden State Warriors,97,Minnesota Timberwolves,94,Box Score,0,17161
Wed Apr 04 2012 07:00pm,Denver Nuggets,92,New Orleans Hornets,94,Box Score,0,15020
Wed Apr 04 2012 07:00pm,Toronto Raptors,99,Philadelphia 76ers,78,Box Score,0,18186
Wed Apr 04 2012 07:00pm,New Jersey Nets,88,Portland Trail Blazers,101,Box Score,0,20464
Wed Apr 04 2012 07:00pm,Phoenix Suns,107,Utah Jazz,105,Box Score,0,19911
Wed Apr 04 2012 07:00pm,Indiana Pacers,109,Washington Wizards,96,Box Score,0,14561
Thu Apr 05 2012 08:30pm,Boston Celtics,86,Chicago Bulls,93,Box Score,0,22423
Thu Apr 05 2012 07:30pm,Washington Wizards,94,Detroit Pistons,99,Box Score,0,12681
