Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.
Sun Dec 25 2011 01:30pm,Miami Heat,105,Dallas Mavericks,94,Box Score,0,20421
Sun Dec 25 2011 07:30pm,Los Angeles Clippers,105,Golden State Warriors,86,Box Score,0,19596
Sun Dec 25 2011 02:00pm,Chicago Bulls,88,Los Angeles Lakers,87,Box Score,0,18997
Sun Dec 25 2011 12:00pm,Boston Celtics,104,New York Knicks,106,Box Score,0,19763
Sun Dec 25 2011 07:00pm,Orlando Magic,89,Oklahoma City Thunder,97,Box Score,0,18203
Mon Dec 26 2011 07:00pm,Milwaukee Bucks,95,Charlotte Bobcats,96,Box Score,0,17173
Mon Dec 26 2011 07:00pm,Toronto Raptors,104,Cleveland Cavaliers,96,Box Score,0,20562
Mon Dec 26 2011 07:30pm,Denver Nuggets,115,Dallas Mavericks,93,Box Score,0,20408
Mon Dec 26 2011 07:30pm,Chicago Bulls,91,Golden State Warriors,99,Box Score,0,19596
Mon Dec 26 2011 07:00pm,Detroit Pistons,79,Indiana Pacers,91,Box Score,0,18165
Mon Dec 26 2011 07:00pm,Oklahoma City Thunder,104,Minnesota Timberwolves,100,Box Score,0,19406
Mon Dec 26 2011 07:00pm,Houston Rockets,95,Orlando Magic,104,Box Score,0,18846
Mon Dec 26 2011 07:00pm,New Orleans Hornets,85,Phoenix Suns,84,Box Score,0,17776
Mon Dec 26 2011 07:00pm,Philadelphia 76ers,103,Portland Trail Blazers,107,Box Score,0,20509
Mon Dec 26 2011 07:00pm,Los Angeles Lakers,91,Sacramento Kings,100,Box Score,0,17317
Mon Dec 26 2011 07:30pm,Memphis Grizzlies,82,San Antonio Spurs,95,Box Score,0,18581
Mon Dec 26 2011 07:00pm,New Jersey Nets,90,Washington Wizards,84,Box Score,0,17102
Tue Dec 27 2011 07:30pm,Utah Jazz,71,Los Angeles Lakers,96,Box Score,0,18997
Tue Dec 27 2011 08:00pm,Boston Celtics,107,Miami Heat,115,Box Score,0,20166
Tue Dec 27 2011 07:30pm,Minnesota Timberwolves,95,Milwaukee Bucks,98,Box Score,0,17352
Tue Dec 27 2011 07:30pm,Atlanta Hawks,106,New Jersey Nets,70,Box Score,0,18711
Tue Dec 27 2011 07:00pm,Sacramento Kings,79,Portland Trail Blazers,101,Box Score,0,20350
Wed Dec 28 2011 07:30pm,Washington Wizards,83,Atlanta Hawks,101,Box Score,0,17750
Wed Dec 28 2011 07:00pm,Miami Heat,96,Charlotte Bobcats,95,Box Score,0,19614
Wed Dec 28 2011 07:00pm,Utah Jazz,100,Denver Nuggets,117,Box Score,0,19155
Wed Dec 28 2011 07:30pm,Cleveland Cavaliers,105,Detroit Pistons,89,Box Score,0,22076
Wed Dec 28 2011 07:30pm,New York Knicks,78,Golden State Warriors,92,Box Score,0,19596
Wed Dec 28 2011 07:00pm,Oklahoma City Thunder,98,Memphis Grizzlies,95,Box Score,0,18119
Wed Dec 28 2011 07:00pm,Boston Celtics,78,New Orleans Hornets,97,Box Score,0,17802
Wed Dec 28 2011 07:00pm,Philadelphia 76ers,103,Phoenix Suns,83,Box Score,0,16360
Wed Dec 28 2011 07:30pm,Los Angeles Clippers,90,San Antonio Spurs,115,Box Score,0,18581
Wed Dec 28 2011 06:00pm,Indiana Pacers,90,Toronto Raptors,85,Box Score,0,19800
Thu Dec 29 2011 07:00pm,San Antonio Spurs,85,Houston Rockets,105,Box Score,0,18267
Thu Dec 29 2011 07:30pm,New York Knicks,82,Los Angeles Lakers,99,Box Score,0,18997
Thu Dec 29 2011 07:00pm,Dallas Mavericks,102,Oklahoma City Thunder,104,Box Score,0,18203
Thu Dec 29 2011 07:00pm,New Jersey Nets,78,Orlando Magic,94,Box Score,0,18954
Thu Dec 29 2011 07:00pm,Denver Nuggets,102,Portland Trail Blazers,111,Box Score,0,20531
Thu Dec 29 2011 07:00pm,Chicago Bulls,108,Sacramento Kings,98,Box Score,0,17317
Fri Dec 30 2011 07:30pm,New Jersey Nets,98,Atlanta Hawks,105,Box Score,0,16300
Fri Dec 30 2011 07:30pm,Detroit Pistons,85,Boston Celtics,96,Box Score,0,18624
Fri Dec 30 2011 07:00pm,Orlando Magic,100,Charlotte Bobcats,79,Box Score,0,18064
Fri Dec 30 2011 07:30pm,Toronto Raptors,86,Dallas Mavericks,99,Box Score,0,20307
Fri Dec 30 2011 07:00pm,Cleveland Cavaliers,91,Indiana Pacers,98,Box Score,1,13004
Fri Dec 30 2011 07:30pm,Chicago Bulls,114,Los Angeles Clippers,101,Box Score,0,19426
Fri Dec 30 2011 07:00pm,Houston Rockets,93,Memphis Grizzlies,113,Box Score,0,16069
Fri Dec 30 2011 07:30pm,Washington Wizards,81,Milwaukee Bucks,102,Box Score,0,17065
Fri Dec 30 2011 07:00pm,Miami Heat,103,Minnesota Timberwolves,101,Box Score,0,19356
Fri Dec 30 2011 07:00pm,Phoenix Suns,93,New Orleans Hornets,78,Box Score,0,15790
Fri Dec 30 2011 07:00pm,Philadelphia 76ers,99,Utah Jazz,102,Box Score,0,19911
Sat Dec 31 2011 06:00pm,Indiana Pacers,88,Detroit Pistons,96,Box Score,0,8824
Sat Dec 31 2011 06:00pm,Philadelphia 76ers,107,Golden State Warriors,79,Box Score,0,19084
Sat Dec 31 2011 06:00pm,Atlanta Hawks,84,Houston Rockets,95,Box Score,0,14390
Sat Dec 31 2011 12:30pm,Denver Nuggets,89,Los Angeles Lakers,92,Box Score,0,18997
Sat Dec 31 2011 07:00pm,Phoenix Suns,97,Oklahoma City Thunder,107,Box Score,0,18203
Sat Dec 31 2011 05:00pm,New York Knicks,114,Sacramento Kings,92,Box Score,0,16175
Sat Dec 31 2011 07:30pm,Utah Jazz,89,San Antonio Spurs,104,Box Score,0,17769
