Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.
Fri Jun 01 2012 08:30pm,Miami Heat,91,Boston Celtics,101,Box Score,0,18624
Sat Jun 02 2012 07:30pm,San Antonio Spurs,103,Oklahoma City Thunder,109,Box Score,0,18203
Sun Jun 03 2012 08:30pm,Miami Heat,91,Boston Celtics,93,Box Score,1,18624
Mon Jun 04 2012 08:00pm,Oklahoma City Thunder,108,San Antonio Spurs,103,Box Score,0,18581
Tue Jun 05 2012 08:30pm,Boston Celtics,94,Miami Heat,90,Box Score,0,20021
Wed Jun 06 2012 08:00pm,San Antonio Spurs,99,Oklahoma City Thunder,107,Box Score,0,18203
Thu Jun 07 2012 08:30pm,Miami Heat,98,Boston Celtics,79,Box Score,0,18624
Sat Jun 09 2012 08:30pm,Boston Celtics,88,Miami Heat,101,Box Score,0,20114
Tue Jun 12 2012 08:00pm,Miami Heat,94,Oklahoma City Thunder,105,Box Score,0,18203
Thu Jun 14 2012 08:00pm,Miami Heat,100,Oklahoma City Thunder,96,Box Score,0,18203
Sun Jun 17 2012 08:00pm,Oklahoma City Thunder,85,Miami Heat,91,Box Score,0,20003
Tue Jun 19 2012 09:00pm,Oklahoma City Thunder,98,Miami Heat,104,Box Score,0,20003
Thu Jun 21 2012 09:00pm,Oklahoma City Thunder,106,Miami Heat,121,Box Score,0,20003
