Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.
Tue Jan 01 2013 07:00pm,Los Angeles Clippers,78,Denver Nuggets,92,Box Score,0,19155
Tue Jan 01 2013 07:30pm,Sacramento Kings,97,Detroit Pistons,103,Box Score,0,12175
Tue Jan 01 2013 07:30pm,Philadelphia 76ers,103,Los Angeles Lakers,99,Box Score,0,18997
Tue Jan 01 2013 07:00pm,Atlanta Hawks,95,New Orleans Hornets,86,Box Score,0,12712
Tue Jan 01 2013 07:30pm,Portland Trail Blazers,105,New York Knicks,100,Box Score,0,19033
Tue Jan 01 2013 06:00pm,Dallas Mavericks,103,Washington Wizards,94,Box Score,0,14456
Wed Jan 02 2013 07:30pm,Memphis Grizzlies,93,Boston Celtics,83,Box Score,0,18624
Wed Jan 02 2013 07:00pm,Sacramento Kings,97,Cleveland Cavaliers,94,Box Score,0,12331
Wed Jan 02 2013 07:30pm,Los Angeles Clippers,94,Golden State Warriors,115,Box Score,0,19596
Wed Jan 02 2013 07:00pm,New Orleans Hornets,92,Houston Rockets,104,Box Score,0,18198
Wed Jan 02 2013 07:00pm,Washington Wizards,81,Indiana Pacers,89,Box Score,0,11182
Wed Jan 02 2013 07:30pm,Dallas Mavericks,109,Miami Heat,119,Box Score,1,20102
Wed Jan 02 2013 07:00pm,San Antonio Spurs,117,Milwaukee Bucks,110,Box Score,0,15084
Wed Jan 02 2013 07:00pm,Brooklyn Nets,110,Oklahoma City Thunder,93,Box Score,0,18203
Wed Jan 02 2013 07:00pm,Chicago Bulls,96,Orlando Magic,94,Box Score,0,18846
Wed Jan 02 2013 07:00pm,Philadelphia 76ers,89,Phoenix Suns,95,Box Score,0,16034
Wed Jan 02 2013 07:00pm,Portland Trail Blazers,79,Toronto Raptors,102,Box Score,0,18117
Wed Jan 02 2013 07:00pm,Minnesota Timberwolves,84,Utah Jazz,106,Box Score,0,19120
Thu Jan 03 2013 07:00pm,Minnesota Timberwolves,101,Denver Nuggets,97,Box Score,0,16921
Thu Jan 03 2013 07:30pm,San Antonio Spurs,83,New York Knicks,100,Box Score,0,19033
Fri Jan 04 2013 08:00pm,Indiana Pacers,75,Boston Celtics,94,Box Score,0,18624
Fri Jan 04 2013 07:00pm,Cleveland Cavaliers,106,Charlotte Bobcats,104,Box Score,0,15576
Fri Jan 04 2013 07:30pm,Atlanta Hawks,84,Detroit Pistons,85,Box Score,0,14832
Fri Jan 04 2013 07:30pm,Los Angeles Lakers,102,Los Angeles Clippers,107,Box Score,0,20179
Fri Jan 04 2013 07:00pm,Portland Trail Blazers,86,Memphis Grizzlies,84,Box Score,0,15823
Fri Jan 04 2013 08:00pm,Chicago Bulls,96,Miami Heat,89,Box Score,0,20138
Fri Jan 04 2013 07:30pm,Houston Rockets,115,Milwaukee Bucks,101,Box Score,0,15867
