Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Thu Nov 01 2012 08:30pm,Oklahoma City Thunder,84,San Antonio Spurs,86,Box Score,0,18581,
Fri Nov 02 2012 07:30pm,Houston Rockets,109,Atlanta Hawks,102,Box Score,0,18238,
Fri Nov 02 2012 07:30pm,Milwaukee Bucks,99,Boston Celtics,88,Box Score,0,18624,
Fri Nov 02 2012 07:00pm,Indiana Pacers,89,Charlotte Bobcats,90,Box Score,0,19124,
Fri Nov 02 2012 07:30pm,Chicago Bulls,115,Cleveland Cavaliers,86,Box Score,0,20562,
Fri Nov 02 2012 07:30pm,Memphis Grizzlies,104,Golden State Warriors,94,Box Score,0,19596,
Fri Nov 02 2012 07:30pm,Los Angeles Clippers,105,Los Angeles Lakers,95,Box Score,0,18997,
Fri Nov 02 2012 07:00pm,Sacramento Kings,80,Minnesota Timberwolves,92,Box Score,0,19356,
Fri Nov 02 2012 07:00pm,Utah Jazz,86,New Orleans Hornets,88,Box Score,0,14147,
Fri Nov 02 2012 08:00pm,Miami Heat,84,New York Knicks,104,Box Score,0,19033,
Fri Nov 02 2012 07:00pm,Portland Trail Blazers,92,Oklahoma City Thunder,106,Box Score,0,18203,
Fri Nov 02 2012 07:00pm,Denver Nuggets,89,Orlando Magic,102,Box Score,0,18846,
Fri Nov 02 2012 07:00pm,Detroit Pistons,89,Phoenix Suns,92,Box Score,0,15107,
Sat Nov 03 2012 07:30pm,Toronto Raptors,100,Brooklyn Nets,107,Box Score,0,17732,
Sat Nov 03 2012 07:00pm,New Orleans Hornets,89,Chicago Bulls,82,Box Score,0,21758,
Sat Nov 03 2012 07:30pm,Charlotte Bobcats,99,Dallas Mavericks,126,Box Score,0,19490,
Sat Nov 03 2012 07:00pm,Portland Trail Blazers,95,Houston Rockets,85,Box Score,1,18140,
Sat Nov 03 2012 07:00pm,Sacramento Kings,98,Indiana Pacers,106,Box Score,2,18165,
Sat Nov 03 2012 07:30pm,Golden State Warriors,114,Los Angeles Clippers,110,Box Score,0,19060,
Sat Nov 03 2012 07:30pm,Denver Nuggets,116,Miami Heat,119,Box Score,0,20104,
