Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.
Sat Feb 01 2014 07:30pm,Minnesota Timberwolves,113,Atlanta Hawks,120,Box Score,0,13018
Sat Feb 01 2014 07:30pm,Philadelphia 76ers,96,Detroit Pistons,113,Box Score,0,16649
Sat Feb 01 2014 08:00pm,Cleveland Cavaliers,92,Houston Rockets,106,Box Score,0,18309
Sat Feb 01 2014 07:00pm,Brooklyn Nets,96,Indiana Pacers,97,Box Score,0,18165
Sat Feb 01 2014 10:30pm,Utah Jazz,87,Los Angeles Clippers,102,Box Score,0,19060
Sat Feb 01 2014 08:00pm,Milwaukee Bucks,90,Memphis Grizzlies,99,Box Score,0,17017
Sat Feb 01 2014 08:00pm,Chicago Bulls,79,New Orleans Pelicans,88,Box Score,0,17799
Sat Feb 01 2014 08:30pm,Miami Heat,106,New York Knicks,91,Box Score,0,19812
Sat Feb 01 2014 09:00pm,Charlotte Bobcats,95,Phoenix Suns,105,Box Score,0,16248
Sat Feb 01 2014 10:00pm,Toronto Raptors,103,Portland Trail Blazers,106,Box Score,0,19996
Sat Feb 01 2014 08:30pm,Sacramento Kings,93,San Antonio Spurs,95,Box Score,0,18581
Sat Feb 01 2014 07:00pm,Oklahoma City Thunder,81,Washington Wizards,96,Box Score,0,20356
Sun Feb 02 2014 01:00pm,Orlando Magic,89,Boston Celtics,96,Box Score,0,18624
Mon Feb 03 2014 07:30pm,Philadelphia 76ers,102,Brooklyn Nets,108,Box Score,0,16727
Mon Feb 03 2014 08:30pm,Cleveland Cavaliers,107,Dallas Mavericks,124,Box Score,0,19595
Mon Feb 03 2014 09:00pm,Los Angeles Clippers,115,Denver Nuggets,116,Box Score,0,16567
Mon Feb 03 2014 07:00pm,Orlando Magic,79,Indiana Pacers,98,Box Score,0,16266
Mon Feb 03 2014 07:30pm,Detroit Pistons,96,Miami Heat,102,Box Score,0,19802
Mon Feb 03 2014 08:00pm,New York Knicks,98,Milwaukee Bucks,101,Box Score,0,11147
Mon Feb 03 2014 08:00pm,San Antonio Spurs,102,New Orleans Pelicans,95,Box Score,0,17086
Mon Feb 03 2014 08:00pm,Memphis Grizzlies,77,Oklahoma City Thunder,86,Box Score,0,18203
Mon Feb 03 2014 10:00pm,Chicago Bulls,70,Sacramento Kings,99,Box Score,0,15178
Mon Feb 03 2014 09:00pm,Toronto Raptors,94,Utah Jazz,79,Box Score,0,17139
Mon Feb 03 2014 07:00pm,Portland Trail Blazers,90,Washington Wizards,100,Box Score,0,13259
Tue Feb 04 2014 07:30pm,Indiana Pacers,89,Atlanta Hawks,85,Box Score,0,15374
Tue Feb 04 2014 10:30pm,Charlotte Bobcats,91,Golden State Warriors,75,Box Score,0,19596
Tue Feb 04 2014 08:00pm,Los Angeles Lakers,99,Minnesota Timberwolves,109,Box Score,0,12559
Tue Feb 04 2014 09:00pm,Chicago Bulls,101,Phoenix Suns,92,Box Score,0,16636
Wed Feb 05 2014 07:00pm,Los Angeles Lakers,119,Cleveland Cavaliers,108,Box Score,0,15205
Wed Feb 05 2014 09:00pm,Milwaukee Bucks,100,Denver Nuggets,110,Box Score,0,15122
Wed Feb 05 2014 08:00pm,Phoenix Suns,108,Houston Rockets,122,Box Score,0,18217
Wed Feb 05 2014 10:30pm,Miami Heat,116,Los Angeles Clippers,112,Box Score,0,19672
Wed Feb 05 2014 08:00pm,Dallas Mavericks,110,Memphis Grizzlies,96,Box Score,0,16188
Wed Feb 05 2014 08:00pm,Atlanta Hawks,100,New Orleans Pelicans,105,Box Score,0,16232
Wed Feb 05 2014 08:00pm,Portland Trail Blazers,94,New York Knicks,90,Box Score,0,19812
Wed Feb 05 2014 08:00pm,Minnesota Timberwolves,97,Oklahoma City Thunder,106,Box Score,0,18203
Wed Feb 05 2014 07:00pm,Detroit Pistons,98,Orlando Magic,112,Box Score,0,15166
Wed Feb 05 2014 07:00pm,Boston Celtics,114,Philadelphia 76ers,108,Box Score,0,10267
Wed Feb 05 2014 10:00pm,Toronto Raptors,101,Sacramento Kings,109,Box Score,0,17317
Wed Feb 05 2014 07:00pm,San Antonio Spurs,125,Washington Wizards,118,Box Score,2,15791
Thu Feb 06 2014 08:00pm,San Antonio Spurs,89,Brooklyn Nets,103,Box Score,0,17732
Thu Feb 06 2014 10:30pm,Chicago Bulls,87,Golden State Warriors,102,Box Score,0,19596
Fri Feb 07 2014 07:30pm,Sacramento Kings,89,Boston Celtics,99,Box Score,0,18624
Fri Feb 07 2014 08:30pm,Utah Jazz,81,Dallas Mavericks,103,Box Score,0,19928
Fri Feb 07 2014 07:30pm,Brooklyn Nets,95,Detroit Pistons,111,Box Score,0,13727
Fri Feb 07 2014 07:00pm,Portland Trail Blazers,113,Indiana Pacers,118,Box Score,1,18165
Fri Feb 07 2014 10:30pm,Toronto Raptors,105,Los Angeles Clippers,118,Box Score,0,19060
Fri Feb 07 2014 09:30pm,Minnesota Timberwolves,91,New Orleans Pelicans,98,Box Score,0,16541
Fri Feb 07 2014 07:30pm,Denver Nuggets,90,New York Knicks,117,Box Score,0,19812
Fri Feb 07 2014 07:00pm,Oklahoma City Thunder,102,Orlando Magic,103,Box Score,0,15595
Fri Feb 07 2014 07:00pm,Los Angeles Lakers,112,Philadelphia 76ers,98,Box Score,0,15211
Fri Feb 07 2014 07:00pm,Cleveland Cavaliers,115,Washington Wizards,113,Box Score,0,16294
Sat Feb 08 2014 07:30pm,Memphis Grizzlies,79,Atlanta Hawks,76,Box Score,0,15190
Sat Feb 08 2014 07:00pm,San Antonio Spurs,104,Charlotte Bobcats,100,Box Score,0,19084
Sat Feb 08 2014 07:30pm,Denver Nuggets,109,Detroit Pistons,126,Box Score,0,15870
Sat Feb 08 2014 08:30pm,Houston Rockets,101,Milwaukee Bucks,95,Box Score,0,15923
Sat Feb 08 2014 08:00pm,Portland Trail Blazers,117,Minnesota Timberwolves,110,Box Score,0,17506
Sat Feb 08 2014 09:00pm,Golden State Warriors,109,Phoenix Suns,122,Box Score,0,17846
Sat Feb 08 2014 09:00pm,Miami Heat,89,Utah Jazz,94,Box Score,0,19911
Sun Feb 09 2014 06:00pm,Dallas Mavericks,102,Boston Celtics,91,Box Score,0,17650
