Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Tue Oct 29 2013 07:00pm,Orlando Magic,87,Indiana Pacers,97,Box Score,0,18165,
Tue Oct 29 2013 10:30pm,Los Angeles Clippers,103,Los Angeles Lakers,116,Box Score,0,18997,
Tue Oct 29 2013 08:00pm,Chicago Bulls,95,Miami Heat,107,Box Score,0,19964,
Wed Oct 30 2013 07:00pm,Brooklyn Nets,94,Cleveland Cavaliers,98,Box Score,0,20562,
Wed Oct 30 2013 08:30pm,Atlanta Hawks,109,Dallas Mavericks,118,Box Score,0,19834,
Wed Oct 30 2013 07:30pm,Washington Wizards,102,Detroit Pistons,113,Box Score,0,19258,
Wed Oct 30 2013 10:30pm,Los Angeles Lakers,94,Golden State Warriors,125,Box Score,0,19596,
Wed Oct 30 2013 08:00pm,Charlotte Bobcats,83,Houston Rockets,96,Box Score,0,18083,
Wed Oct 30 2013 08:00pm,Orlando Magic,115,Minnesota Timberwolves,120,Box Score,1,17988,
Wed Oct 30 2013 08:00pm,Indiana Pacers,95,New Orleans Pelicans,90,Box Score,0,17803,
Wed Oct 30 2013 07:30pm,Milwaukee Bucks,83,New York Knicks,90,Box Score,0,19812,
Wed Oct 30 2013 07:00pm,Miami Heat,110,Philadelphia 76ers,114,Box Score,0,19523,
Wed Oct 30 2013 10:00pm,Portland Trail Blazers,91,Phoenix Suns,104,Box Score,0,17208,
Wed Oct 30 2013 10:00pm,Denver Nuggets,88,Sacramento Kings,90,Box Score,0,17317,
Wed Oct 30 2013 08:30pm,Memphis Grizzlies,94,San Antonio Spurs,101,Box Score,0,18581,
Wed Oct 30 2013 07:00pm,Boston Celtics,87,Toronto Raptors,93,Box Score,0,20155,
Wed Oct 30 2013 09:00pm,Oklahoma City Thunder,101,Utah Jazz,98,Box Score,0,19911,
Thu Oct 31 2013 08:00pm,New York Knicks,81,Chicago Bulls,82,Box Score,0,22022,
Thu Oct 31 2013 10:30pm,Golden State Warriors,115,Los Angeles Clippers,126,Box Score,0,19060,
