Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Mon Dec 01 2014 10:30pm,Minnesota Timberwolves,101,Los Angeles Clippers,127,Box Score,0,19060,
Mon Dec 01 2014 07:00pm,San Antonio Spurs,109,Philadelphia 76ers,103,Box Score,0,12843,
Mon Dec 01 2014 09:00pm,Denver Nuggets,103,Utah Jazz,101,Box Score,0,16768,
Mon Dec 01 2014 07:00pm,Miami Heat,86,Washington Wizards,107,Box Score,0,15150,
Tue Dec 02 2014 07:30pm,Boston Celtics,105,Atlanta Hawks,109,Box Score,0,12705,
Tue Dec 02 2014 08:00pm,Dallas Mavericks,132,Chicago Bulls,129,Box Score,2,22042,
Tue Dec 02 2014 07:00pm,Milwaukee Bucks,108,Cleveland Cavaliers,111,Box Score,0,20562,
Tue Dec 02 2014 09:00pm,Portland Trail Blazers,105,Denver Nuggets,103,Box Score,0,12822,
Tue Dec 02 2014 07:30pm,Los Angeles Lakers,106,Detroit Pistons,96,Box Score,0,14083,
Tue Dec 02 2014 10:30pm,Orlando Magic,97,Golden State Warriors,98,Box Score,0,19596,
Tue Dec 02 2014 08:00pm,Oklahoma City Thunder,104,New Orleans Pelicans,112,Box Score,0,13903,
Tue Dec 02 2014 07:30pm,Brooklyn Nets,98,New York Knicks,93,Box Score,0,19812,
Tue Dec 02 2014 09:00pm,Indiana Pacers,99,Phoenix Suns,116,Box Score,0,15059,
Tue Dec 02 2014 10:00pm,Toronto Raptors,117,Sacramento Kings,109,Box Score,0,15522,
Wed Dec 03 2014 07:30pm,Detroit Pistons,102,Boston Celtics,109,Box Score,1,15870,
Wed Dec 03 2014 07:30pm,San Antonio Spurs,93,Brooklyn Nets,95,Box Score,1,15989,
Wed Dec 03 2014 07:00pm,Chicago Bulls,102,Charlotte Hornets,95,Box Score,0,16887,
Wed Dec 03 2014 08:00pm,Memphis Grizzlies,96,Houston Rockets,105,Box Score,0,18151,
Wed Dec 03 2014 10:30pm,Orlando Magic,86,Los Angeles Clippers,114,Box Score,0,19060,
Wed Dec 03 2014 07:30pm,Atlanta Hawks,112,Miami Heat,102,Box Score,0,19600,
Wed Dec 03 2014 08:00pm,Dallas Mavericks,107,Milwaukee Bucks,105,Box Score,0,13568,
Wed Dec 03 2014 08:00pm,Philadelphia 76ers,85,Minnesota Timberwolves,77,Box Score,0,10463,
Wed Dec 03 2014 09:00pm,Toronto Raptors,123,Utah Jazz,104,Box Score,0,16677,
Wed Dec 03 2014 07:00pm,Los Angeles Lakers,95,Washington Wizards,111,Box Score,0,18490,
Thu Dec 04 2014 10:30pm,New Orleans Pelicans,85,Golden State Warriors,112,Box Score,0,19596,
Thu Dec 04 2014 08:00pm,Cleveland Cavaliers,90,New York Knicks,87,Box Score,0,19812,
Thu Dec 04 2014 10:00pm,Indiana Pacers,82,Portland Trail Blazers,88,Box Score,0,19191,
Fri Dec 05 2014 07:30pm,Los Angeles Lakers,96,Boston Celtics,113,Box Score,0,18624,
