Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.
Sun Mar 01 2015 06:00pm,Golden State Warriors,106,Boston Celtics,101,Box Score,0,18624
Sun Mar 01 2015 01:00pm,Los Angeles Clippers,96,Chicago Bulls,86,Box Score,0,21680
Sun Mar 01 2015 08:00pm,New Orleans Pelicans,99,Denver Nuggets,92,Box Score,0,13109
Sun Mar 01 2015 03:30pm,Cleveland Cavaliers,103,Houston Rockets,105,Box Score,1,18345
Sun Mar 01 2015 06:00pm,Philadelphia 76ers,74,Indiana Pacers,94,Box Score,0,16581
Sun Mar 01 2015 06:30pm,Oklahoma City Thunder,108,Los Angeles Lakers,101,Box Score,0,18997
Sun Mar 01 2015 06:00pm,Charlotte Hornets,98,Orlando Magic,83,Box Score,0,15422
Sun Mar 01 2015 06:00pm,Portland Trail Blazers,110,Sacramento Kings,99,Box Score,0,16776
Mon Mar 02 2015 07:30pm,Golden State Warriors,108,Brooklyn Nets,110,Box Score,0,17732
Mon Mar 02 2015 08:30pm,New Orleans Pelicans,93,Dallas Mavericks,102,Box Score,0,20367
Mon Mar 02 2015 07:30pm,Phoenix Suns,98,Miami Heat,115,Box Score,0,19600
Mon Mar 02 2015 08:00pm,Los Angeles Clippers,110,Minnesota Timberwolves,105,Box Score,0,18239
Mon Mar 02 2015 07:00pm,Toronto Raptors,114,Philadelphia 76ers,103,Box Score,0,10742
Tue Mar 03 2015 07:30pm,Houston Rockets,96,Atlanta Hawks,104,Box Score,0,18968
Tue Mar 03 2015 08:00pm,Washington Wizards,92,Chicago Bulls,97,Box Score,0,21468
Tue Mar 03 2015 07:00pm,Los Angeles Lakers,103,Charlotte Hornets,104,Box Score,0,16947
Tue Mar 03 2015 07:00pm,Boston Celtics,79,Cleveland Cavaliers,110,Box Score,0,20562
Tue Mar 03 2015 09:00pm,Milwaukee Bucks,95,Denver Nuggets,106,Box Score,0,12234
Tue Mar 03 2015 08:00pm,Utah Jazz,93,Memphis Grizzlies,82,Box Score,0,16779
Tue Mar 03 2015 07:00pm,Sacramento Kings,124,New York Knicks,86,Box Score,0,19812
Wed Mar 04 2015 07:30pm,Utah Jazz,84,Boston Celtics,85,Box Score,0,16354
Wed Mar 04 2015 07:30pm,Charlotte Hornets,115,Brooklyn Nets,91,Box Score,0,16691
Wed Mar 04 2015 10:30pm,Milwaukee Bucks,93,Golden State Warriors,102,Box Score,0,19596
Wed Mar 04 2015 08:00pm,Memphis Grizzlies,102,Houston Rockets,100,Box Score,0,18224
Wed Mar 04 2015 07:00pm,New York Knicks,82,Indiana Pacers,105,Box Score,0,15981
Wed Mar 04 2015 10:30pm,Portland Trail Blazers,98,Los Angeles Clippers,93,Box Score,1,19060
Wed Mar 04 2015 08:00pm,Los Angeles Lakers,94,Miami Heat,100,Box Score,0,19600
Wed Mar 04 2015 08:00pm,Denver Nuggets,100,Minnesota Timberwolves,85,Box Score,0,13848
Wed Mar 04 2015 08:00pm,Detroit Pistons,85,New Orleans Pelicans,88,Box Score,0,16925
Wed Mar 04 2015 08:00pm,Philadelphia 76ers,118,Oklahoma City Thunder,123,Box Score,1,18203
Wed Mar 04 2015 07:00pm,Phoenix Suns,105,Orlando Magic,100,Box Score,0,15822
Wed Mar 04 2015 08:30pm,Sacramento Kings,85,San Antonio Spurs,112,Box Score,0,18581
Wed Mar 04 2015 07:30pm,Cleveland Cavaliers,120,Toronto Raptors,112,Box Score,0,19800
Thu Mar 05 2015 08:00pm,Oklahoma City Thunder,105,Chicago Bulls,108,Box Score,0,21696
Thu Mar 05 2015 10:30pm,Dallas Mavericks,75,Portland Trail Blazers,94,Box Score,0,19499
Fri Mar 06 2015 07:30pm,Cleveland Cavaliers,97,Atlanta Hawks,106,Box Score,0,19244
Fri Mar 06 2015 08:00pm,Phoenix Suns,108,Brooklyn Nets,100,Box Score,1,16445
Fri Mar 06 2015 07:00pm,Toronto Raptors,94,Charlotte Hornets,103,Box Score,0,19080
Fri Mar 06 2015 10:30pm,Dallas Mavericks,89,Golden State Warriors,104,Box Score,0,19596
Fri Mar 06 2015 08:00pm,Detroit Pistons,93,Houston Rockets,103,Box Score,0,18193
Fri Mar 06 2015 07:00pm,Chicago Bulls,84,Indiana Pacers,98,Box Score,0,18165
Fri Mar 06 2015 08:00pm,Los Angeles Lakers,90,Memphis Grizzlies,97,Box Score,0,17399
Fri Mar 06 2015 08:00pm,Boston Celtics,104,New Orleans Pelicans,98,Box Score,0,17274
Fri Mar 06 2015 07:00pm,Sacramento Kings,114,Orlando Magic,119,Box Score,0,15112
Fri Mar 06 2015 07:00pm,Utah Jazz,89,Philadelphia 76ers,83,Box Score,0,15811
Fri Mar 06 2015 08:30pm,Denver Nuggets,111,San Antonio Spurs,120,Box Score,0,18581
Fri Mar 06 2015 07:00pm,Miami Heat,97,Washington Wizards,99,Box Score,0,20356
Sat Mar 07 2015 07:30pm,Phoenix Suns,79,Cleveland Cavaliers,89,Box Score,0,20562
Sat Mar 07 2015 09:00pm,Houston Rockets,114,Denver Nuggets,100,Box Score,0,15231
Sat Mar 07 2015 07:30pm,Sacramento Kings,109,Miami Heat,114,Box Score,1,19600
Sat Mar 07 2015 08:30pm,Washington Wizards,85,Milwaukee Bucks,91,Box Score,0,16216
Sat Mar 07 2015 08:00pm,Portland Trail Blazers,113,Minnesota Timberwolves,121,Box Score,0,19356
Sat Mar 07 2015 07:00pm,Memphis Grizzlies,89,New Orleans Pelicans,95,Box Score,0,17346
