Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.
Tue Nov 01 2016 06:00pm,Houston Rockets,120,Cleveland Cavaliers,128,Box Score,0,20562
Tue Nov 01 2016 07:30pm,New York Knicks,89,Detroit Pistons,102,Box Score,0,13087
Tue Nov 01 2016 07:00pm,Los Angeles Lakers,108,Indiana Pacers,115,Box Score,0,15348
Tue Nov 01 2016 07:30pm,Sacramento Kings,96,Miami Heat,108,Box Score,1,19612
Tue Nov 01 2016 08:00pm,Memphis Grizzlies,80,Minnesota Timberwolves,116,Box Score,0,14774
Tue Nov 01 2016 08:00pm,Milwaukee Bucks,117,New Orleans Pelicans,113,Box Score,0,15515
Tue Nov 01 2016 07:00pm,Orlando Magic,103,Philadelphia 76ers,101,Box Score,0,12529
Tue Nov 01 2016 10:00pm,Golden State Warriors,127,Portland Trail Blazers,104,Box Score,0,19393
Tue Nov 01 2016 08:30pm,Utah Jazz,106,San Antonio Spurs,91,Box Score,0,18418
Wed Nov 02 2016 07:30pm,Los Angeles Lakers,123,Atlanta Hawks,116,Box Score,0,13800
Wed Nov 02 2016 08:00pm,Chicago Bulls,100,Boston Celtics,107,Box Score,0,18624
Wed Nov 02 2016 07:30pm,Detroit Pistons,101,Brooklyn Nets,109,Box Score,0,13650
Wed Nov 02 2016 07:00pm,Philadelphia 76ers,93,Charlotte Hornets,109,Box Score,0,15275
Wed Nov 02 2016 10:30pm,Oklahoma City Thunder,85,Los Angeles Clippers,83,Box Score,0,19060
Wed Nov 02 2016 08:00pm,New Orleans Pelicans,83,Memphis Grizzlies,89,Box Score,1,15881
Wed Nov 02 2016 07:30pm,Houston Rockets,118,New York Knicks,99,Box Score,0,19812
Wed Nov 02 2016 10:00pm,Portland Trail Blazers,115,Phoenix Suns,118,Box Score,1,17284
Wed Nov 02 2016 09:00pm,Dallas Mavericks,81,Utah Jazz,97,Box Score,0,19318
Wed Nov 02 2016 07:00pm,Toronto Raptors,113,Washington Wizards,103,Box Score,0,19581
Thu Nov 03 2016 08:00pm,Boston Celtics,122,Cleveland Cavaliers,128,Box Score,0,20562
Thu Nov 03 2016 10:30pm,Oklahoma City Thunder,96,Golden State Warriors,122,Box Score,0,19596
Thu Nov 03 2016 08:00pm,Indiana Pacers,107,Milwaukee Bucks,125,Box Score,0,11374
Thu Nov 03 2016 08:00pm,Denver Nuggets,102,Minnesota Timberwolves,99,Box Score,0,11219
Thu Nov 03 2016 07:00pm,Sacramento Kings,94,Orlando Magic,102,Box Score,0,17026
Fri Nov 04 2016 07:30pm,Charlotte Hornets,99,Brooklyn Nets,95,Box Score,0,15775
Fri Nov 04 2016 08:00pm,New York Knicks,117,Chicago Bulls,104,Box Score,0,22376
Fri Nov 04 2016 08:30pm,Portland Trail Blazers,105,Dallas Mavericks,95,Box Score,0,19475
Fri Nov 04 2016 10:30pm,Golden State Warriors,97,Los Angeles Lakers,117,Box Score,0,18997
Fri Nov 04 2016 08:00pm,Los Angeles Clippers,99,Memphis Grizzlies,88,Box Score,0,17115
Fri Nov 04 2016 08:00pm,Phoenix Suns,112,New Orleans Pelicans,111,Box Score,1,15379
Fri Nov 04 2016 07:30pm,Miami Heat,87,Toronto Raptors,96,Box Score,0,19800
Fri Nov 04 2016 09:00pm,San Antonio Spurs,100,Utah Jazz,86,Box Score,0,19911
Fri Nov 04 2016 07:00pm,Atlanta Hawks,92,Washington Wizards,95,Box Score,0,14663
Sat Nov 05 2016 07:30pm,Houston Rockets,97,Atlanta Hawks,112,Box Score,0,16895
Sat Nov 05 2016 07:00pm,Denver Nuggets,86,Detroit Pistons,103,Box Score,0,16218
Sat Nov 05 2016 07:00pm,Chicago Bulls,94,Indiana Pacers,111,Box Score,0,17020
Sat Nov 05 2016 08:00pm,Sacramento Kings,91,Milwaukee Bucks,117,Box Score,0,16021
Sat Nov 05 2016 06:00pm,Minnesota Timberwolves,92,Oklahoma City Thunder,112,Box Score,0,18203
Sat Nov 05 2016 07:00pm,Washington Wizards,86,Orlando Magic,88,Box Score,0,18846
Sat Nov 05 2016 07:00pm,Cleveland Cavaliers,102,Philadelphia 76ers,101,Box Score,0,20497
Sat Nov 05 2016 08:30pm,Los Angeles Clippers,116,San Antonio Spurs,92,Box Score,0,18418
Sun Nov 06 2016 07:30pm,Denver Nuggets,123,Boston Celtics,107,Box Score,0,17452
Sun Nov 06 2016 07:00pm,Milwaukee Bucks,75,Dallas Mavericks,86,Box Score,1,19345
Sun Nov 06 2016 09:30pm,Phoenix Suns,108,Los Angeles Lakers,119,Box Score,0,18997
Sun Nov 06 2016 03:30pm,Portland Trail Blazers,100,Memphis Grizzlies,94,Box Score,0,16233
Sun Nov 06 2016 12:00pm,Utah Jazz,114,New York Knicks,109,Box Score,0,19812
Sun Nov 06 2016 06:00pm,Sacramento Kings,96,Toronto Raptors,91,Box Score,0,19800
Mon Nov 07 2016 08:00pm,Orlando Magic,80,Chicago Bulls,112,Box Score,0,21320
Mon Nov 07 2016 07:00pm,Indiana Pacers,100,Charlotte Hornets,122,Box Score,0,16880
Mon Nov 07 2016 10:30pm,New Orleans Pelicans,106,Golden State Warriors,116,Box Score,0,19596
Mon Nov 07 2016 10:30pm,Detroit Pistons,82,Los Angeles Clippers,114,Box Score,0,19060
Mon Nov 07 2016 08:00pm,Miami Heat,85,Oklahoma City Thunder,97,Box Score,0,18203
Mon Nov 07 2016 07:00pm,Utah Jazz,109,Philadelphia 76ers,84,Box Score,0,14168
Mon Nov 07 2016 07:00pm,Houston Rockets,114,Washington Wizards,106,Box Score,0,13173
Tue Nov 08 2016 07:30pm,Minnesota Timberwolves,110,Brooklyn Nets,119,Box Score,0,13610
Tue Nov 08 2016 07:00pm,Atlanta Hawks,110,Cleveland Cavaliers,106,Box Score,0,20562
Tue Nov 08 2016 10:30pm,Dallas Mavericks,109,Los Angeles Lakers,97,Box Score,0,18997
Tue Nov 08 2016 08:00pm,Denver Nuggets,107,Memphis Grizzlies,108,Box Score,0,15109
Tue Nov 08 2016 10:00pm,Phoenix Suns,121,Portland Trail Blazers,124,Box Score,0,19239
Tue Nov 08 2016 10:30pm,New Orleans Pelicans,94,Sacramento Kings,102,Box Score,0,17608
Wed Nov 09 2016 07:30pm,Chicago Bulls,107,Atlanta Hawks,115,Box Score,0,16354
Wed Nov 09 2016 07:00pm,Utah Jazz,98,Charlotte Hornets,104,Box Score,0,15712
Wed Nov 09 2016 10:30pm,Dallas Mavericks,95,Golden State Warriors,116,Box Score,0,19596
Wed Nov 09 2016 07:00pm,Philadelphia 76ers,115,Indiana Pacers,122,Box Score,1,15360
Wed Nov 09 2016 10:30pm,Portland Trail Blazers,80,Los Angeles Clippers,111,Box Score,0,19060
Wed Nov 09 2016 07:00pm,Brooklyn Nets,96,New York Knicks,110,Box Score,0,19812
Wed Nov 09 2016 08:00pm,Toronto Raptors,112,Oklahoma City Thunder,102,Box Score,0,18203
Wed Nov 09 2016 07:00pm,Minnesota Timberwolves,123,Orlando Magic,107,Box Score,0,17102
Wed Nov 09 2016 09:00pm,Detroit Pistons,100,Phoenix Suns,107,Box Score,0,16719
Wed Nov 09 2016 09:30pm,Houston Rockets,101,San Antonio Spurs,99,Box Score,0,18418
Wed Nov 09 2016 07:00pm,Boston Celtics,93,Washington Wizards,118,Box Score,0,12675
Thu Nov 10 2016 09:00pm,Golden State Warriors,125,Denver Nuggets,101,Box Score,0,17569
Thu Nov 10 2016 08:00pm,Chicago Bulls,98,Miami Heat,95,Box Score,0,19600
Thu Nov 10 2016 08:00pm,New Orleans Pelicans,112,Milwaukee Bucks,106,Box Score,0,12159
Thu Nov 10 2016 10:30pm,Los Angeles Lakers,101,Sacramento Kings,91,Box Score,0,17608
Fri Nov 11 2016 07:30pm,New York Knicks,87,Boston Celtics,115,Box Score,0,18624
Fri Nov 11 2016 07:00pm,Toronto Raptors,113,Charlotte Hornets,111,Box Score,0,18107
Fri Nov 11 2016 08:00pm,Los Angeles Clippers,110,Oklahoma City Thunder,108,Box Score,0,18203
Fri Nov 11 2016 07:00pm,Utah Jazz,87,Orlando Magic,74,Box Score,0,18846
Fri Nov 11 2016 07:00pm,Indiana Pacers,105,Philadelphia 76ers,109,Box Score,1,17643
Fri Nov 11 2016 10:00pm,Sacramento Kings,120,Portland Trail Blazers,122,Box Score,1,19918
Fri Nov 11 2016 08:30pm,Detroit Pistons,86,San Antonio Spurs,96,Box Score,0,18418
Fri Nov 11 2016 07:00pm,Cleveland Cavaliers,105,Washington Wizards,94,Box Score,0,20356
Sat Nov 12 2016 07:30pm,Philadelphia 76ers,96,Atlanta Hawks,117,Box Score,0,17399
Sat Nov 12 2016 08:00pm,Washington Wizards,95,Chicago Bulls,106,Box Score,0,21962
Sat Nov 12 2016 09:00pm,Detroit Pistons,106,Denver Nuggets,95,Box Score,0,13997
Sat Nov 12 2016 08:00pm,San Antonio Spurs,106,Houston Rockets,100,Box Score,0,18055
Sat Nov 12 2016 07:00pm,Boston Celtics,105,Indiana Pacers,99,Box Score,0,17923
Sat Nov 12 2016 08:00pm,Utah Jazz,102,Miami Heat,91,Box Score,0,19600
Sat Nov 12 2016 08:30pm,Memphis Grizzlies,96,Milwaukee Bucks,106,Box Score,0,14327
Sat Nov 12 2016 08:00pm,Los Angeles Clippers,119,Minnesota Timberwolves,105,Box Score,0,14494
Sat Nov 12 2016 07:00pm,Los Angeles Lakers,126,New Orleans Pelicans,99,Box Score,0,17138
Sat Nov 12 2016 09:00pm,Brooklyn Nets,122,Phoenix Suns,104,Box Score,0,17126
Sat Nov 12 2016 07:30pm,New York Knicks,107,Toronto Raptors,118,Box Score,0,19800
Sun Nov 13 2016 03:30pm,Charlotte Hornets,93,Cleveland Cavaliers,100,Box Score,0,20562
Sun Nov 13 2016 08:00pm,Phoenix Suns,120,Golden State Warriors,133,Box Score,0,19596
Sun Nov 13 2016 07:00pm,Los Angeles Lakers,99,Minnesota Timberwolves,125,Box Score,0,14432
Sun Nov 13 2016 07:00pm,Orlando Magic,119,Oklahoma City Thunder,117,Box Score,0,18203
Sun Nov 13 2016 09:00pm,Denver Nuggets,105,Portland Trail Blazers,112,Box Score,0,19362
Mon Nov 14 2016 07:30pm,Oklahoma City Thunder,88,Detroit Pistons,104,Box Score,0,14172
Mon Nov 14 2016 08:00pm,Philadelphia 76ers,88,Houston Rockets,115,Box Score,0,13183
Mon Nov 14 2016 07:00pm,Orlando Magic,69,Indiana Pacers,88,Box Score,0,14825
Mon Nov 14 2016 10:30pm,Brooklyn Nets,95,Los Angeles Clippers,127,Box Score,0,19060
Mon Nov 14 2016 08:00pm,Boston Celtics,105,New Orleans Pelicans,106,Box Score,0,15001
Mon Nov 14 2016 07:30pm,Dallas Mavericks,77,New York Knicks,93,Box Score,0,19812
Mon Nov 14 2016 08:30pm,Miami Heat,90,San Antonio Spurs,94,Box Score,0,18418
Mon Nov 14 2016 09:00pm,Memphis Grizzlies,102,Utah Jazz,96,Box Score,0,18176
Tue Nov 15 2016 07:00pm,Toronto Raptors,117,Cleveland Cavaliers,121,Box Score,0,20562
Tue Nov 15 2016 10:30pm,Brooklyn Nets,118,Los Angeles Lakers,125,Box Score,0,18426
Tue Nov 15 2016 07:30pm,Atlanta Hawks,93,Miami Heat,90,Box Score,0,19600
Tue Nov 15 2016 08:00pm,Charlotte Hornets,115,Minnesota Timberwolves,108,Box Score,0,10349
Tue Nov 15 2016 10:00pm,Chicago Bulls,113,Portland Trail Blazers,88,Box Score,0,19393
Wed Nov 16 2016 07:30pm,Milwaukee Bucks,100,Atlanta Hawks,107,Box Score,0,14656
Wed Nov 16 2016 07:30pm,Dallas Mavericks,83,Boston Celtics,90,Box Score,0,18624
Wed Nov 16 2016 09:00pm,Phoenix Suns,104,Denver Nuggets,120,Box Score,0,10247
Wed Nov 16 2016 07:00pm,Cleveland Cavaliers,93,Indiana Pacers,103,Box Score,0,17022
Wed Nov 16 2016 10:30pm,Memphis Grizzlies,111,Los Angeles Clippers,107,Box Score,0,19060
Wed Nov 16 2016 07:30pm,Detroit Pistons,102,New York Knicks,105,Box Score,0,19812
Wed Nov 16 2016 08:00pm,Houston Rockets,103,Oklahoma City Thunder,105,Box Score,0,18203
Wed Nov 16 2016 07:00pm,New Orleans Pelicans,82,Orlando Magic,89,Box Score,0,16127
Wed Nov 16 2016 07:00pm,Washington Wizards,102,Philadelphia 76ers,109,Box Score,0,14863
Wed Nov 16 2016 10:30pm,San Antonio Spurs,110,Sacramento Kings,105,Box Score,0,17608
Wed Nov 16 2016 08:00pm,Golden State Warriors,127,Toronto Raptors,121,Box Score,0,21050
Thu Nov 17 2016 08:00pm,Portland Trail Blazers,109,Houston Rockets,126,Box Score,0,15550
Thu Nov 17 2016 07:30pm,Milwaukee Bucks,73,Miami Heat,96,Box Score,0,19600
Thu Nov 17 2016 08:00pm,Philadelphia 76ers,86,Minnesota Timberwolves,110,Box Score,0,16866
Thu Nov 17 2016 10:30pm,Chicago Bulls,85,Utah Jazz,77,Box Score,0,19911
Thu Nov 17 2016 07:00pm,New York Knicks,112,Washington Wizards,119,Box Score,0,16704
